From Node ID, To Node ID, Edge Weight
5937,303,-1
5937,300,-1
5937,112,-1
5937,415,-1
5937,307,-1
11385,110,-1
11385,307,-1
11385,389,-1
11385,415,-1
11385,303,-1
11385,112,-1
11385,105,-1
11385,299,-1
11385,336,-1
11385,300,-1
11385,107,-1
11385,417,-1
11385,338,1
2995,112,-1
2995,307,-1
2995,300,-1
2995,303,-1
2995,417,-1
2995,338,1
2995,336,-1
2995,415,-1
2995,107,-1
2995,299,-1
2995,105,-1
2995,389,-1
2995,110,-1
2838,110,-1
2838,307,-1
2838,299,-1
2838,338,1
2838,300,-1
2838,303,-1
2838,417,-1
2838,415,-1
2838,107,-1
2838,105,-1
2838,112,-1
2838,336,-1
2838,389,-1
1937,338,1
1937,303,-1
1937,417,-1
1937,300,-1
1937,299,-1
1937,110,-1
1937,105,-1
1937,307,-1
1937,112,-1
1937,389,-1
1937,107,-1
1937,336,-1
1937,415,-1
10318,303,-1
10318,417,-1
10318,389,-1
10318,300,-1
10318,105,-1
10318,107,-1
10318,110,-1
10318,307,-1
10318,299,-1
10318,415,-1
10318,336,-1
10318,338,1
10318,112,-1
10362,307,-1
10362,338,-1
10362,389,-1
10362,107,-1
10362,415,-1
10362,299,-1
10362,300,-1
10362,336,-1
10362,303,-1
10362,105,-1
10362,110,-1
10362,417,1
10362,112,-1
10439,389,-1
10439,415,-1
10439,112,-1
10439,107,-1
10439,338,1
10439,110,-1
10439,307,-1
10439,336,-1
10439,300,-1
10439,299,-1
10439,303,-1
10439,417,-1
10439,105,-1
8364,338,-1
8364,107,-1
8364,303,-1
8364,336,-1
8364,417,-1
8364,300,-1
8364,299,-1
8364,110,-1
8364,389,1
8364,112,-1
8364,415,-1
8364,105,-1
8364,307,-1
12268,105,-1
12268,112,-1
12268,303,-1
12268,415,-1
12268,300,-1
12268,299,-1
12268,389,1
12268,338,1
12268,336,-1
12268,417,-1
12268,110,-1
12268,307,-1
12268,107,-1
8712,417,-1
8712,307,-1
8712,300,-1
8712,107,-1
8712,105,1
8712,336,-1
8712,389,1
8712,112,1
8712,415,1
8712,338,1
8712,299,-1
8712,303,-1
8712,110,1
2423,300,-1
2423,110,-1
2423,417,1
2423,338,1
2423,112,-1
2423,415,-1
2423,299,-1
2423,107,-1
2423,105,-1
2423,307,-1
2423,389,1
2423,303,-1
2423,336,-1
11733,389,-1
11733,300,-1
11733,110,-1
11733,107,-1
11733,299,-1
11733,105,-1
11733,303,-1
11733,336,1
11733,338,-1
11733,417,-1
11733,415,-1
11733,112,-1
11733,307,-1
6216,300,-1
6216,417,-1
6216,299,-1
6216,110,-1
6216,112,-1
6216,415,-1
6216,307,-1
6216,105,-1
6216,336,-1
6216,107,-1
6216,389,1
6216,303,-1
6216,338,1
10793,338,1
10793,389,-1
10793,336,-1
10793,107,-1
10793,415,-1
10793,110,-1
10793,307,-1
10793,300,-1
10793,299,-1
10793,112,-1
10793,303,-1
10793,417,-1
10793,105,-1
3061,299,-1
3061,307,-1
3061,112,-1
3061,300,-1
3061,336,-1
3061,107,-1
3061,338,1
3061,417,-1
3061,415,-1
3061,303,-1
3061,105,-1
3061,389,1
3061,110,-1
4722,110,-1
4722,389,-1
4722,112,-1
4722,415,-1
4722,303,-1
4722,307,-1
4722,338,1
4722,336,-1
4722,105,-1
4722,300,-1
4722,107,-1
4722,299,-1
4722,417,-1
5489,338,1
5489,336,-1
5489,112,-1
5489,417,-1
5489,300,-1
5489,299,-1
5489,110,-1
5489,307,-1
5489,415,-1
5489,389,1
5489,303,-1
5489,107,-1
5489,105,-1
1964,105,-1
1964,299,-1
1964,417,-1
1964,415,-1
1964,303,-1
1964,338,1
1964,110,-1
1964,307,-1
1964,107,-1
1964,389,-1
1964,300,-1
1964,112,-1
1964,336,-1
2013,110,-1
2013,307,-1
2013,417,-1
2013,112,-1
2013,299,-1
2013,336,-1
2013,303,-1
2013,389,-1
2013,415,-1
2013,107,-1
2013,105,-1
2013,338,1
2013,300,-1
2014,417,-1
2014,112,1
2014,107,-1
2014,110,-1
2014,105,-1
2014,300,-1
2014,303,-1
2014,336,-1
2014,307,-1
2014,389,-1
2014,299,-1
2014,415,-1
2014,338,-1
2144,338,-1
2144,336,-1
2144,417,-1
2144,300,-1
2144,415,-1
2144,303,-1
2144,110,-1
2144,299,-1
2144,112,-1
2144,107,-1
2144,389,1
2144,105,-1
2144,307,-1
5651,112,-1
5651,303,-1
5651,415,-1
5651,336,-1
5651,389,1
5651,338,1
5651,307,-1
5651,105,-1
5651,300,-1
5651,107,-1
5651,417,-1
5651,299,-1
